#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
10535	53.14301982	-27.78828666	29.982	0.259	4.59	0.61	0.125	-53.8	3.32	0.4	3.81	0.555	0.353	0	12	30.111	30.135	29.982	TRUE
8227	53.15000382	-27.76621103	29.276	0.489	5.47	0.13	0.175	-50.2	3.32	0.41	3.66	0.598	0.827	0	12	99	99	29.276	TRUE
1594	53.17798704	-27.80959348	28.708	0.426	4.97	0.11	0.062	61.1	3.32	2.69	3.58	0.803	2.083	0	12	28.995	-99	28.708	TRUE
1727	53.15122244	-27.80864387	27.695	0.263	4.65	0.06	0.058	-88.7	3.32	2.96	3.94	0.744	2.217	0	12	99	-99	27.695	TRUE
2145	53.15060124	-27.80590926	26.507	0.111	9.04	0.03	0.258	12.9	3.32	2.98	3.54	0.957	1.239	0	12	26.809	-99	26.507	TRUE
2394	53.17550758	-27.80463295	29.057	0.657	7	0.02	0.292	-36.5	3.32	0.49	3.69	0.536	0.572	0	12	99	-99	29.057	TRUE
6377	53.16450958	-27.79512088	27.88	0.06	9.6	0.01	0.273	81.7	3.32	0.23	3.58	0.781	0.19	0	12	28.239	28.087	27.88	TRUE
6514	53.14781419	-27.78586195	28.759	0.153	7.03	0.01	0.171	-3.3	3.32	0.64	3.87	0.71	0.815	0	12	29.204	28.845	28.759	TRUE
1943	53.15019605	-27.80733737	28.503	0.464	9.48	0	0.216	2.6	3.32	0.28	4.08	0.295	0.793	0	12	29.33	-99	28.503	TRUE
2490	53.1756399	-27.80404399	99	28.905	12.11	0	0.536	21.9	3.32	2.93	3.58	0.901	1.231	0	12	28.217	-99	99	TRUE
2641	53.17662032	-27.80315028	27.453	0.3	15.46	0	0.654	-12.7	3.32	2.7	3.57	0.768	1.21	0	12	28.401	-99	27.453	TRUE
4916	53.18576536	-27.7886451	28.627	0.521	7	0	0.181	-1.1	3.32	2.72	3.59	0.794	0.737	0	12	99	-99	28.627	TRUE
5321	53.16463545	-27.79061624	28.33	0.11	18.9	0	0.525	-42.4	3.32	0.26	3.62	0.817	0.365	0	12	28.475	28.478	28.33	TRUE
5990	53.12624228	-27.79357547	28.417	0.404	10.05	0	0.338	-35.6	3.32	2.56	3.59	0.636	0.795	0	12	29.835	-99	28.417	TRUE
6587	53.15630338	-27.75799802	28.663	0.473	13.05	0	0.561	38.7	3.32	0.42	3.61	0.626	1.937	0	12	28.57	-99	28.663	TRUE
6844	53.17724336	-27.78446833	28.64	0.121	11.57	0	0.27	40.6	3.32	0.41	3.89	0.571	0.245	0	12	29.358	28.867	28.64	TRUE
7488	53.17787243	-27.78075653	29.087	0.185	9.98	0	0.369	62.9	3.32	0.54	3.73	0.657	0.517	0	12	29.552	29.738	29.087	TRUE
10478	53.12823445	-27.78751586	28.435	0.617	8.87	0	0.358	79.2	3.32	0.47	4.01	0.648	0.953	0	12	28.518	-99	28.435	TRUE
10525	53.16820062	-27.78814877	30.441	0.47	9.47	0	0.205	7.3	3.32	2.68	3.65	0.785	0.914	0	12	29.875	30.547	30.441	TRUE
6886	53.19035325	-27.78428294	27.524	0.201	4.51	0.02	0.123	30.1	3.319	3.05	3.57	0.953	0.947	0	12	27.569	-99	27.524	TRUE
282	53.16737719	-27.82368059	28.417	0.449	5.04	0.19	0.085	44.6	3.318	3.05	3.56	0.964	0.746	0	12	28.948	-99	28.417	TRUE
1077	53.1652935	-27.81405511	22.453	0.005	12.18	0.03	0.407	3.9	3.318	3.13	3.5	0.996	0.734	0	12	24.013	-99	22.453	TRUE
6012	53.15257181	-27.79384452	23.99	0.004	7.96	0.03	0.191	-71.4	3.318	3.13	3.5	0.996	0.048	0	12	24.594	24.289	23.99	TRUE
9775	53.15377977	-27.77818206	28.024	0.061	4.66	0.07	0.091	-7	3.317	3.08	3.55	0.975	0.393	0	12	28.202	28.235	28.024	TRUE
1764	53.17607136	-27.80836869	27.351	0.169	10.67	0	0.172	40.6	3.316	3.04	3.58	0.95	0.113	0	12	27.928	-99	27.351	TRUE
5724	53.15308185	-27.79239191	25.864	0.014	8.05	0.03	0.195	-0.2	3.315	3.12	3.5	0.995	0.554	0	12	26.181	26.069	25.864	TRUE
637	53.16148651	-27.81882005	27.539	0.218	14.77	0.01	0.508	-15.4	3.314	3.06	3.54	0.973	0.781	0	12	27.911	-99	27.539	TRUE
3506	53.16790037	-27.7979532	24.422	0.005	6.23	0.03	0.079	-74.6	3.313	3.12	3.49	0.996	0.671	0	12	24.627	24.551	24.422	TRUE
